-3|0|LICEN||^|
-2|0|LICEN||^|
-1|0|LICEN||^|
0|0|LICEN|01/01/1939|^|
1|240964|LICEN|06/24/2004|^|
2|399336|LICEN|02/05/2013|^|
3|25638|LICEN||^|
4|329965|LICEN|10/20/2008|^|
11|91803|LICEN||^|
36|12160|LICEN||^|
38|19|LICEN||^|
39|24590|LICEN||^|
43|396503|LICEN|03/12/2015|^|
44|16|LICEN||^|
48|15765|LICEN||^|
49|15765|LICEN||^|
51|8|LICEN||^|
53|26|LICEN||^|
54|15334|LICEN||^|
56|15651|LICEN||^|
60|9247|LICEN||^|
62|1102|LICEN||^|
64|350961|LICEN|03/29/2010|^|
65|11271|LICEN||^|
66|10828|LICEN||^|
73|244095|LICEN|08/16/2004|^|
74|20458|LICEN||^|
75|20458|LICEN||^|
76|440048|LICEN|08/10/2015|^|
86|431209|LICEN|05/19/2015|^|
87|304739|LICEN|05/21/2007|^|
88|10601|LICEN||^|
89|368794|LICEN|01/02/2014|^|
91|329628|LICEN|03/04/2009|^|
92|10782|LICEN||^|
95|371938|LICEN|07/06/2011|^|
96|282926|LICEN|10/10/2006|^|
97|316914|LICEN|02/05/2008|^|
98|4883|LICEN||^|
99|368492|LICEN|04/07/2011|^|
100|23268|LICEN||^|
101|368493|LICEN|04/07/2011|^|
102|283908|LICEN|03/07/2006|^|
104|996|LICEN||^|
106|316036|LICEN|01/14/2008|^|
107|2739|LICEN||^|
108|18570|LICEN||^|
109|307021|LICEN|10/18/2007|^|
110|280963|LICEN|01/26/2006|^|
111|91803|LICEN|07/26/2005|^|
114|4281|LICEN||^|
115|345131|LICEN|10/20/2009|^|
117|368432|LICEN|11/01/2011|^|
118|2363|LICEN||^|
119|368794|LICEN|01/02/2014|^|
120|12467|LICEN||^|
121|69469|LICEN||^|
122|272806|LICEN|10/05/2006|^|
123|316737|LICEN|03/18/2008|^|
124|316737|LICEN|03/18/2008|^|
125|428697|LICEN|04/22/2014|^|
126|428697|LICEN|04/14/2014|^|
127|327485|LICEN|08/18/2008|^|
128|10970|LICEN||^|
129|10970|LICEN||^|
130|10970|LICEN||^|
131|291398|LICEN|07/14/2006|^|
132|350390|LICEN|07/29/2013|^|
133|368432|LICEN|11/01/2011|^|
134|12568|LICEN|03/26/2003|^|
135|12568|LICEN||^|
136|12568|LICEN|03/26/2003|^|
137|12568|LICEN|03/26/2003|^|
138|12568|LICEN|03/26/2003|^|
139|12568|LICEN|03/26/2003|^|
140|12568|LICEN|03/20/2003|^|
140|12568|LICEN|03/26/2003|^|
141|281309|LICEN|03/29/2006|^|
142|9997|LICEN||^|
143|14538|LICEN||^|
144|352594|LICEN|05/21/2010|^|
145|371940|LICEN|07/06/2011|^|
146|400972|LICEN|02/24/2014|^|
147|399003|LICEN|04/10/2014|^|
148|304396|LICEN|05/14/2007|^|
150|3507|LICEN||^|
153|317202|LICEN|02/08/2008|^|
